"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
14.803989,13.894942,17.703628,19.332586,13.265591,15.20041,9.484415,10.990436,13.423439,15.440549,14.483794,16.041691,14.468699,22.802844,16.808189,17.670829,10.121428,16.2372
0,0,0,0,0,0.327701,0,0,0,0.251343,0.552723,0,0,0,0,0,0.82654,0
0.033643,0.032261,0.048987,0,0,0.035528,0.05795,0.018329,0.072497,0,0,0,0.057665,0.146024,0.024895,0.027304,0,0
0.065152,0,0,0,0,0.080898,0.187051,0,0,0.080916,0,0,0,0,0,0,0,0
0.019983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.505623,0,0.219659,0.373117,0.414861,0.471118,0.272422,0.284923,0.608599,3.41562,4.819923,3.554319,2.047981,8.001933,2.735612,1.601133,1.095422,2.915196
0.025088,0,0.39914,0.222084,0.242416,0.745775,1.908088,0,0,3.938524,0.90402,4.035708,0.170108,0,0.073307,0.191898,0.675953,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760768,1.34838,1.055154,1.105766,1.66978,1.060327,1.0994,1.305181,0.942538,4.080251,4.157303,2.833698,4.096011,2.209274,5.124456,3.116166,6.158706,3.162437
0.698923,0.545739,0.432738,2.440907,2.130616,1.175678,1.054913,0.584761,1.178953,10.244485,6.588255,2.410884,8.753166,3.393027,8.935521,6.937651,13.681559,6.460932
0.139207,0,0.037998,0.091781,0.093246,0.069561,0.050812,0.137248,0.439631,0.256398,0.212776,0.650791,0.154063,0.026369,0.054719,0.160292,0.029688,0.236353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.247677,0.927518,0,0.317694,1.890599,0,0.38778,0,1.035107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
