"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
16.288292,42.082493,36.265554,45.696464,44.028178,45.634741,41.439588,38.615604,36.54124
0,0,0.293073,0,0,0,0,0,0
0.071723,0,0.118913,0.081376,0.041889,0.11442,0.505924,0.43231,0.327217
0,0,0,0,0,0,0,0,0
3.525055,1.632416,2.205155,3.312025,1.503904,2.273069,1.207901,1.216373,1.466053
0,0,0,0,0,0,0,0,0
0,0,0,0.778425,0.287756,0,0.67725,0.138195,0.568102
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.190944,0,0,0,0
2.367918,2.261402,2.834859,6.29512,5.852165,4.599284,5.328903,4.737849,5.333183
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.084188,0.231017,0.291022,0.095631,0,0.021371,0.042019,0.061497,0.081497
0,0,0.312694,0.053876,0,0.113185,0.047519,0.048369,0.251727
0.78548,1.314829,3.598853,1.487609,1.105273,2.575328,0.284493,1.04037,1.142535
0,0.646359,0.69855,0.218502,0.351651,0.586567,0.347992,0.245991,0.326004
8.544889,11.279558,9.628082,3.664974,6.021516,5.586944,3.908694,4.309598,3.728408
0,0,0,0,0,0,0.024882,0,0
0,0.166229,0,0.057352,0.073645,0,0.075602,0.122914,0.122164
0,0,0,0,0,0,0,0,0
4.40113,3.206151,4.354993,5.116287,5.056741,6.426458,3.875741,4.144936,4.659527
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.034712,0,0
0.199675,0,0.165454,0.067957,0.029119,0.045481,0.062895,0.019424,0.057916
0,0,0.981763,0,1.105215,0.113469,0,0.322729,0.412406
0,0,0,0,0,0,0,0,0
0,0,0.50766,0,0,0,0,0.124275,1.100791
0,0,0,0,0,0,0,0,0
0.320049,0,0,0,0,0,0.446639,0,0
0,0,0,0,0,0,0,0,0
